"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS"
6250;812382;6529230;196001;0,927
6250;812382;6529230;196002;1,02
6250;812382;6529230;196003;1,048
6250;812382;6529230;196004;0,837
6250;812382;6529230;196005;0,62
6250;812382;6529230;196006;0,431
6250;812382;6529230;196007;0,487
6250;812382;6529230;196008;0,642
6250;812382;6529230;196009;0,841
6250;812382;6529230;196010;1,096
6250;812382;6529230;196011;1,057
6250;812382;6529230;196012;1,004
6250;812382;6529230;196101;1,081
6250;812382;6529230;196102;1,042
6250;812382;6529230;196103;0,856
6250;812382;6529230;196104;0,784
6250;812382;6529230;196105;0,832
6250;812382;6529230;196106;0,726
6250;812382;6529230;196107;0,517
6250;812382;6529230;196108;0,572
6250;812382;6529230;196109;0,343
6250;812382;6529230;196110;0,594
6250;812382;6529230;196111;0,944
6250;812382;6529230;196112;1,025
6250;812382;6529230;196201;1,051
6250;812382;6529230;196202;1,03
6250;812382;6529230;196203;1,02
6250;812382;6529230;196204;1,006
6250;812382;6529230;196205;0,895
6250;812382;6529230;196206;0,68
6250;812382;6529230;196207;0,339
6250;812382;6529230;196208;0,187
6250;812382;6529230;196209;0,236
6250;812382;6529230;196210;0,226
6250;812382;6529230;196211;0,384
6250;812382;6529230;196212;0,735
6250;812382;6529230;196301;1,014
6250;812382;6529230;196302;1,016
6250;812382;6529230;196303;1,135
6250;812382;6529230;196304;1,02
6250;812382;6529230;196305;0,84
6250;812382;6529230;196306;0,825
6250;812382;6529230;196307;0,771
6250;812382;6529230;196308;0,846
6250;812382;6529230;196309;0,89
6250;812382;6529230;196310;0,806
6250;812382;6529230;196311;1,051
6250;812382;6529230;196312;0,961
6250;812382;6529230;196401;0,919
6250;812382;6529230;196402;0,983
6250;812382;6529230;196403;1,048
6250;812382;6529230;196404;0,984
6250;812382;6529230;196405;0,793
6250;812382;6529230;196406;0,592
6250;812382;6529230;196407;0,245
6250;812382;6529230;196408;0,133
6250;812382;6529230;196409;0,141
6250;812382;6529230;196410;0,416
6250;812382;6529230;196411;0,515
6250;812382;6529230;196412;0,689
6250;812382;6529230;196501;0,944
6250;812382;6529230;196502;0,991
6250;812382;6529230;196503;1,04
6250;812382;6529230;196504;1,002
6250;812382;6529230;196505;0,986
6250;812382;6529230;196506;0,868
6250;812382;6529230;196507;0,74
6250;812382;6529230;196508;0,696
