"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS"
1500;1015105;6863237;196001;0,709
1500;1015105;6863237;196002;0,928
1500;1015105;6863237;196003;0,992
1500;1015105;6863237;196004;0,817
1500;1015105;6863237;196005;0,718
1500;1015105;6863237;196006;0,545
1500;1015105;6863237;196007;0,573
1500;1015105;6863237;196008;0,754
1500;1015105;6863237;196009;0,858
1500;1015105;6863237;196010;0,936
1500;1015105;6863237;196011;1,062
1500;1015105;6863237;196012;1,02
1500;1015105;6863237;196101;1,029
1500;1015105;6863237;196102;1,03
1500;1015105;6863237;196103;0,843
1500;1015105;6863237;196104;0,81
1500;1015105;6863237;196105;0,883
1500;1015105;6863237;196106;0,841
1500;1015105;6863237;196107;0,55
1500;1015105;6863237;196108;0,569
1500;1015105;6863237;196109;0,395
1500;1015105;6863237;196110;0,416
1500;1015105;6863237;196111;0,66
1500;1015105;6863237;196112;0,894
1500;1015105;6863237;196201;1,029
1500;1015105;6863237;196202;1,038
1500;1015105;6863237;196203;0,984
1500;1015105;6863237;196204;1,003
1500;1015105;6863237;196205;0,89
1500;1015105;6863237;196206;0,569
1500;1015105;6863237;196207;0,337
1500;1015105;6863237;196208;0,189
1500;1015105;6863237;196209;0,194
1500;1015105;6863237;196210;0,144
1500;1015105;6863237;196211;0,184
1500;1015105;6863237;196212;0,381
1500;1015105;6863237;196301;0,544
1500;1015105;6863237;196302;0,55
1500;1015105;6863237;196303;0,739
1500;1015105;6863237;196304;0,888
1500;1015105;6863237;196305;0,747
1500;1015105;6863237;196306;0,536
1500;1015105;6863237;196307;0,399
1500;1015105;6863237;196308;0,383
1500;1015105;6863237;196309;0,473
1500;1015105;6863237;196310;0,579
1500;1015105;6863237;196311;0,783
1500;1015105;6863237;196312;0,888
1500;1015105;6863237;196401;0,844
1500;1015105;6863237;196402;0,933
1500;1015105;6863237;196403;0,978
1500;1015105;6863237;196404;0,928
1500;1015105;6863237;196405;0,683
1500;1015105;6863237;196406;0,396
1500;1015105;6863237;196407;0,144
1500;1015105;6863237;196408;0,059
1500;1015105;6863237;196409;0,126
1500;1015105;6863237;196410;0,29
1500;1015105;6863237;196411;0,508
1500;1015105;6863237;196412;0,716
1500;1015105;6863237;196501;0,929
1500;1015105;6863237;196502;1,013
1500;1015105;6863237;196503;1,018
1500;1015105;6863237;196504;0,956
1500;1015105;6863237;196505;0,922
1500;1015105;6863237;196506;0,921
1500;1015105;6863237;196507;0,75
1500;1015105;6863237;196508;0,602
1500;1015105;6863237;196509;0,735
1500;1015105;6863237;196510;0,739
1500;1015105;6863237;196511;0,853
1500;1015105;6863237;196512;1,092
1500;1015105;6863237;196601;1,056
1500;1015105;6863237;196602;1,045
1500;1015105;6863237;196603;0,951
1500;1015105;6863237;196604;0,973
1500;1015105;6863237;196605;0,779
1500;1015105;6863237;196606;0,64
1500;1015105;6863237;196607;0,676
1500;1015105;6863237;196608;0,722
1500;1015105;6863237;196609;0,738
1500;1015105;6863237;196610;0,653
1500;1015105;6863237;196611;0,873
1500;1015105;6863237;196612;1,075
1500;1015105;6863237;196701;1,02
1500;1015105;6863237;196702;0,966
1500;1015105;6863237;196703;0,975
1500;1015105;6863237;196704;0,9
1500;1015105;6863237;196705;0,75
1500;1015105;6863237;196706;0,671
1500;1015105;6863237;196707;0,395
1500;1015105;6863237;196708;0,37
1500;1015105;6863237;196709;0,456
1500;1015105;6863237;196710;0,671
1500;1015105;6863237;196711;0,892
1500;1015105;6863237;196712;0,99
1500;1015105;6863237;196801;1,077
1500;1015105;6863237;196802;1,009
1500;1015105;6863237;196803;0,982
1500;1015105;6863237;196804;0,89
1500;1015105;6863237;196805;0,923
1500;1015105;6863237;196806;0,739
1500;1015105;6863237;196807;0,558
1500;1015105;6863237;196808;0,686
1500;1015105;6863237;196809;0,865
1500;1015105;6863237;196810;0,949
1500;1015105;6863237;196811;0,9
1500;1015105;6863237;196812;0,903
1500;1015105;6863237;196901;0,971
1500;1015105;6863237;196902;0,974
1500;1015105;6863237;196903;1,086
1500;1015105;6863237;196904;0,965
1500;1015105;6863237;196905;0,943
1500;1015105;6863237;196906;0,855
1500;1015105;6863237;196907;0,637
1500;1015105;6863237;196908;0,395
1500;1015105;6863237;196909;0,353
1500;1015105;6863237;196910;0,275
1500;1015105;6863237;196911;0,442
1500;1015105;6863237;196912;0,733
1500;1015105;6863237;197001;0,869
1500;1015105;6863237;197002;1,14
1500;1015105;6863237;197003;1,032
1500;1015105;6863237;197004;1,037
1500;1015105;6863237;197005;0,999
1500;1015105;6863237;197006;0,718
1500;1015105;6863237;197007;0,607
1500;1015105;6863237;197008;0,389
1500;1015105;6863237;197009;0,364
1500;1015105;6863237;197010;0,458
1500;1015105;6863237;197011;0,523
1500;1015105;6863237;197012;0,702
1500;1015105;6863237;197101;0,75
1500;1015105;6863237;197102;0,866
1500;1015105;6863237;197103;0,879
1500;1015105;6863237;197104;0,735
1500;1015105;6863237;197105;0,592
1500;1015105;6863237;197106;0,613
1500;1015105;6863237;197107;0,361
1500;1015105;6863237;197108;0,195
1500;1015105;6863237;197109;0,127
1500;1015105;6863237;197110;0,155
1500;1015105;6863237;197111;0,272
1500;1015105;6863237;197112;0,522
1500;1015105;6863237;197201;0,592
1500;1015105;6863237;197202;0,708
1500;1015105;6863237;197203;0,725
1500;1015105;6863237;197204;0,771
1500;1015105;6863237;197205;0,753
1500;1015105;6863237;197206;0,713
1500;1015105;6863237;197207;0,565
1500;1015105;6863237;197208;0,527
1500;1015105;6863237;197209;0,42
1500;1015105;6863237;197210;0,321
1500;1015105;6863237;197211;0,591
1500;1015105;6863237;197212;0,887
1500;1015105;6863237;197301;0,864
1500;1015105;6863237;197302;0,948
1500;1015105;6863237;197303;0,896
1500;1015105;6863237;197304;0,828
