"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS"
2;641374;7106309;196001;0,863
2;641374;7106309;196002;0,876
2;641374;7106309;196003;0,856
2;641374;7106309;196004;0,757
2;641374;7106309;196005;0,673
2;641374;7106309;196006;0,577
2;641374;7106309;196007;0,351
2;641374;7106309;196008;0,371
2;641374;7106309;196009;0,436
2;641374;7106309;196010;0,598
2;641374;7106309;196011;0,967
2;641374;7106309;196012;1,03
2;641374;7106309;196101;1
2;641374;7106309;196102;0,944
2;641374;7106309;196103;0,862
2;641374;7106309;196104;0,777
2;641374;7106309;196105;0,547
2;641374;7106309;196106;0,301
2;641374;7106309;196107;0,232
2;641374;7106309;196108;0,123
2;641374;7106309;196109;0,094
2;641374;7106309;196110;0,253
2;641374;7106309;196111;0,45
2;641374;7106309;196112;0,658
2;641374;7106309;196201;0,785
2;641374;7106309;196202;0,876
2;641374;7106309;196203;0,841
2;641374;7106309;196204;0,814
2;641374;7106309;196205;0,611
2;641374;7106309;196206;0,332
2;641374;7106309;196207;0,203
2;641374;7106309;196208;0,174
2;641374;7106309;196209;0,127
2;641374;7106309;196210;0,127
2;641374;7106309;196211;0,362
2;641374;7106309;196212;0,489
2;641374;7106309;196301;0,562
2;641374;7106309;196302;0,593
2;641374;7106309;196303;0,628
2;641374;7106309;196304;0,634
2;641374;7106309;196305;0,572
2;641374;7106309;196306;0,392
2;641374;7106309;196307;0,409
2;641374;7106309;196308;0,237
2;641374;7106309;196309;0,298
2;641374;7106309;196310;0,386
2;641374;7106309;196311;0,538
2;641374;7106309;196312;0,671
2;641374;7106309;196401;0,686
2;641374;7106309;196402;0,688
2;641374;7106309;196403;0,742
2;641374;7106309;196404;0,822
2;641374;7106309;196405;0,643
2;641374;7106309;196406;0,568
2;641374;7106309;196407;0,348
2;641374;7106309;196408;0,156
2;641374;7106309;196409;0,097
2;641374;7106309;196410;0,287
2;641374;7106309;196411;0,529
2;641374;7106309;196412;0,746
2;641374;7106309;196501;0,963
2;641374;7106309;196502;0,893
2;641374;7106309;196503;0,841
2;641374;7106309;196504;0,798
2;641374;7106309;196505;0,719
2;641374;7106309;196506;0,539
2;641374;7106309;196507;0,391
2;641374;7106309;196508;0,302
2;641374;7106309;196509;0,564
2;641374;7106309;196510;0,461
2;641374;7106309;196511;0,47
2;641374;7106309;196512;0,803
2;641374;7106309;196601;0,95
2;641374;7106309;196602;0,991
2;641374;7106309;196603;0,879
2;641374;7106309;196604;0,838
2;641374;7106309;196605;0,689
2;641374;7106309;196606;0,494
2;641374;7106309;196607;0,498
2;641374;7106309;196608;0,519
2;641374;7106309;196609;0,434
2;641374;7106309;196610;0,42
2;641374;7106309;196611;0,784
2;641374;7106309;196612;1,053
2;641374;7106309;196701;0,94
2;641374;7106309;196702;0,893
2;641374;7106309;196703;0,874
2;641374;7106309;196704;0,861
2;641374;7106309;196705;0,738
2;641374;7106309;196706;0,595
2;641374;7106309;196707;0,367
2;641374;7106309;196708;0,204
2;641374;7106309;196709;0,157
2;641374;7106309;196710;0,224
2;641374;7106309;196711;0,47
2;641374;7106309;196712;0,58
2;641374;7106309;196801;0,865
2;641374;7106309;196802;0,946
2;641374;7106309;196803;0,885
2;641374;7106309;196804;0,776
2;641374;7106309;196805;0,66
2;641374;7106309;196806;0,432
2;641374;7106309;196807;0,413
2;641374;7106309;196808;0,362
2;641374;7106309;196809;0,39
2;641374;7106309;196810;0,579
2;641374;7106309;196811;0,728
2;641374;7106309;196812;0,77
2;641374;7106309;196901;0,855
2;641374;7106309;196902;0,972
2;641374;7106309;196903;0,967
2;641374;7106309;196904;0,847
2;641374;7106309;196905;0,918
2;641374;7106309;196906;0,705
2;641374;7106309;196907;0,602
2;641374;7106309;196908;0,417
2;641374;7106309;196909;0,276
2;641374;7106309;196910;0,183
2;641374;7106309;196911;0,393
2;641374;7106309;196912;0,77
2;641374;7106309;197001;0,863
2;641374;7106309;197002;0,94
2;641374;7106309;197003;0,973
2;641374;7106309;197004;0,941
2;641374;7106309;197005;0,703
2;641374;7106309;197006;0,343
2;641374;7106309;197007;0,209
2;641374;7106309;197008;0,109
2;641374;7106309;197009;0,121
2;641374;7106309;197010;0,117
2;641374;7106309;197011;0,271
2;641374;7106309;197012;0,454
2;641374;7106309;197101;0,555
2;641374;7106309;197102;0,7
2;641374;7106309;197103;0,738
2;641374;7106309;197104;0,667
2;641374;7106309;197105;0,567
2;641374;7106309;197106;0,535
2;641374;7106309;197107;0,381
2;641374;7106309;197108;0,207
2;641374;7106309;197109;0,109
2;641374;7106309;197110;0,121
2;641374;7106309;197111;0,249
2;641374;7106309;197112;0,405
2;641374;7106309;197201;0,475
2;641374;7106309;197202;0,603
2;641374;7106309;197203;0,631
2;641374;7106309;197204;0,633
2;641374;7106309;197205;0,59
2;641374;7106309;197206;0,555
2;641374;7106309;197207;0,388
2;641374;7106309;197208;0,375
2;641374;7106309;197209;0,281
2;641374;7106309;197210;0,195
2;641374;7106309;197211;0,272
2;641374;7106309;197212;0,48
2;641374;7106309;197301;0,53
2;641374;7106309;197302;0,63
2;641374;7106309;197303;0,636
2;641374;7106309;197304;0,597
2;641374;7106309;197305;0,656
2;641374;7106309;197306;0,468
2;641374;7106309;197307;0,248
2;641374;7106309;197308;0,127
2;641374;7106309;197309;0,102
2;641374;7106309;197310;0,358
2;641374;7106309;197311;0,428
2;641374;7106309;197312;0,504
2;641374;7106309;197401;0,616
2;641374;7106309;197402;0,751
2;641374;7106309;197403;0,773
2;641374;7106309;197404;0,643
2;641374;7106309;197405;0,501
2;641374;7106309;197406;0,311
