"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS"
5275;333481;6613156;196001;1,009
5275;333481;6613156;196002;0,967
5275;333481;6613156;196003;0,921
5275;333481;6613156;196004;0,724
5275;333481;6613156;196005;0,438
5275;333481;6613156;196006;0,194
5275;333481;6613156;196007;0,07
5275;333481;6613156;196008;0,014
5275;333481;6613156;196009;0,124
5275;333481;6613156;196010;0,603
5275;333481;6613156;196011;1,093
5275;333481;6613156;196012;1,055
5275;333481;6613156;196101;1,059
5275;333481;6613156;196102;0,944
5275;333481;6613156;196103;0,754
5275;333481;6613156;196104;0,587
5275;333481;6613156;196105;0,455
5275;333481;6613156;196106;0,233
5275;333481;6613156;196107;0,134
5275;333481;6613156;196108;0,017
5275;333481;6613156;196109;-0,007
5275;333481;6613156;196110;0,218
5275;333481;6613156;196111;0,664
5275;333481;6613156;196112;0,951
5275;333481;6613156;196201;0,978
5275;333481;6613156;196202;0,891
5275;333481;6613156;196203;0,837
5275;333481;6613156;196204;0,846
5275;333481;6613156;196205;0,649
5275;333481;6613156;196206;0,289
5275;333481;6613156;196207;0,106
5275;333481;6613156;196208;0,015
5275;333481;6613156;196209;0,008
5275;333481;6613156;196210;0,016
5275;333481;6613156;196211;0,301
5275;333481;6613156;196212;0,483
5275;333481;6613156;196301;0,709
5275;333481;6613156;196302;0,781
5275;333481;6613156;196303;0,87
5275;333481;6613156;196304;0,9
5275;333481;6613156;196305;0,657
5275;333481;6613156;196306;0,411
5275;333481;6613156;196307;0,218
5275;333481;6613156;196308;0,225
5275;333481;6613156;196309;0,207
5275;333481;6613156;196310;0,139
5275;333481;6613156;196311;0,618
5275;333481;6613156;196312;0,905
5275;333481;6613156;196401;0,837
5275;333481;6613156;196402;0,851
5275;333481;6613156;196403;0,988
5275;333481;6613156;196404;0,869
5275;333481;6613156;196405;0,625
5275;333481;6613156;196406;0,42
5275;333481;6613156;196407;0,15
5275;333481;6613156;196408;0,001
5275;333481;6613156;196409;0,018
5275;333481;6613156;196410;0,186
5275;333481;6613156;196411;0,21
5275;333481;6613156;196412;0,368
5275;333481;6613156;196501;0,722
5275;333481;6613156;196502;0,8
5275;333481;6613156;196503;0,861
5275;333481;6613156;196504;0,738
5275;333481;6613156;196505;0,539
5275;333481;6613156;196506;0,316
5275;333481;6613156;196507;0,146
5275;333481;6613156;196508;0,307
5275;333481;6613156;196509;0,362
5275;333481;6613156;196510;0,548
5275;333481;6613156;196511;0,622
5275;333481;6613156;196512;0,965
5275;333481;6613156;196601;1,019
5275;333481;6613156;196602;0,993
5275;333481;6613156;196603;0,854
5275;333481;6613156;196604;0,802
5275;333481;6613156;196605;0,663
5275;333481;6613156;196606;0,411
5275;333481;6613156;196607;0,227
5275;333481;6613156;196608;0,14
5275;333481;6613156;196609;0,033
5275;333481;6613156;196610;0,41
5275;333481;6613156;196611;0,803
5275;333481;6613156;196612;0,953
5275;333481;6613156;196701;0,938
5275;333481;6613156;196702;0,924
5275;333481;6613156;196703;0,905
5275;333481;6613156;196704;0,759
5275;333481;6613156;196705;0,577
5275;333481;6613156;196706;0,404
5275;333481;6613156;196707;0,152
5275;333481;6613156;196708;0,114
5275;333481;6613156;196709;0,082
5275;333481;6613156;196710;0,136
5275;333481;6613156;196711;0,477
5275;333481;6613156;196712;0,624
5275;333481;6613156;196801;0,866
5275;333481;6613156;196802;0,957
5275;333481;6613156;196803;0,86
5275;333481;6613156;196804;0,742
5275;333481;6613156;196805;0,703
