"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS"
2500;310999;6797205;196001;1,035
2500;310999;6797205;196002;0,976
2500;310999;6797205;196003;0,982
2500;310999;6797205;196004;0,873
2500;310999;6797205;196005;0,634
2500;310999;6797205;196006;0,429
2500;310999;6797205;196007;0,31
2500;310999;6797205;196008;0,366
2500;310999;6797205;196009;0,443
2500;310999;6797205;196010;0,762
2500;310999;6797205;196011;1,052
2500;310999;6797205;196012;1,027
2500;310999;6797205;196101;1,056
2500;310999;6797205;196102;0,973
2500;310999;6797205;196103;0,847
2500;310999;6797205;196104;0,827
2500;310999;6797205;196105;0,732
2500;310999;6797205;196106;0,519
2500;310999;6797205;196107;0,275
2500;310999;6797205;196108;0,12
2500;310999;6797205;196109;0,034
2500;310999;6797205;196110;0,14
2500;310999;6797205;196111;0,466
2500;310999;6797205;196112;0,78
2500;310999;6797205;196201;0,975
2500;310999;6797205;196202;0,94
2500;310999;6797205;196203;0,9
2500;310999;6797205;196204;0,965
2500;310999;6797205;196205;0,782
2500;310999;6797205;196206;0,414
2500;310999;6797205;196207;0,196
2500;310999;6797205;196208;0,181
2500;310999;6797205;196209;0,127
2500;310999;6797205;196210;0,201
2500;310999;6797205;196211;0,516
2500;310999;6797205;196212;0,79
2500;310999;6797205;196301;0,968
2500;310999;6797205;196302;0,976
2500;310999;6797205;196303;1,015
2500;310999;6797205;196304;0,954
2500;310999;6797205;196305;0,759
2500;310999;6797205;196306;0,64
2500;310999;6797205;196307;0,481
2500;310999;6797205;196308;0,403
2500;310999;6797205;196309;0,4
2500;310999;6797205;196310;0,392
2500;310999;6797205;196311;0,696
2500;310999;6797205;196312;0,927
2500;310999;6797205;196401;0,879
2500;310999;6797205;196402;0,907
2500;310999;6797205;196403;0,978
2500;310999;6797205;196404;0,922
2500;310999;6797205;196405;0,719
2500;310999;6797205;196406;0,768
2500;310999;6797205;196407;0,375
2500;310999;6797205;196408;0,16
2500;310999;6797205;196409;0,15
2500;310999;6797205;196410;0,277
2500;310999;6797205;196411;0,395
2500;310999;6797205;196412;0,656
2500;310999;6797205;196501;0,964
2500;310999;6797205;196502;0,95
2500;310999;6797205;196503;0,912
2500;310999;6797205;196504;0,789
2500;310999;6797205;196505;0,645
2500;310999;6797205;196506;0,483
2500;310999;6797205;196507;0,359
2500;310999;6797205;196508;0,285
2500;310999;6797205;196509;0,339
2500;310999;6797205;196510;0,357
2500;310999;6797205;196511;0,62
2500;310999;6797205;196512;1,01
2500;310999;6797205;196601;1,025
2500;310999;6797205;196602;0,99
2500;310999;6797205;196603;0,914
2500;310999;6797205;196604;0,879
2500;310999;6797205;196605;0,79
2500;310999;6797205;196606;0,546
2500;310999;6797205;196607;0,329
2500;310999;6797205;196608;0,213
2500;310999;6797205;196609;0,15
2500;310999;6797205;196610;0,451
2500;310999;6797205;196611;0,874
2500;310999;6797205;196612;1,013
2500;310999;6797205;196701;0,965
2500;310999;6797205;196702;0,941
2500;310999;6797205;196703;0,923
2500;310999;6797205;196704;0,791
2500;310999;6797205;196705;0,721
2500;310999;6797205;196706;0,559
2500;310999;6797205;196707;0,252
2500;310999;6797205;196708;0,139
2500;310999;6797205;196709;0,169
2500;310999;6797205;196710;0,342
2500;310999;6797205;196711;0,603
2500;310999;6797205;196712;0,716
2500;310999;6797205;196801;0,944
2500;310999;6797205;196802;0,971
2500;310999;6797205;196803;0,878
2500;310999;6797205;196804;0,781
2500;310999;6797205;196805;0,794
2500;310999;6797205;196806;0,537
2500;310999;6797205;196807;0,32
2500;310999;6797205;196808;0,211
2500;310999;6797205;196809;0,213
2500;310999;6797205;196810;0,329
2500;310999;6797205;196811;0,471
2500;310999;6797205;196812;0,562
2500;310999;6797205;196901;0,773
2500;310999;6797205;196902;0,883
2500;310999;6797205;196903;0,951
2500;310999;6797205;196904;0,799
2500;310999;6797205;196905;0,701
2500;310999;6797205;196906;0,584
2500;310999;6797205;196907;0,364
2500;310999;6797205;196908;0,151
2500;310999;6797205;196909;0,095
2500;310999;6797205;196910;0,042
2500;310999;6797205;196911;0,325
2500;310999;6797205;196912;0,739
2500;310999;6797205;197001;0,932
2500;310999;6797205;197002;1,033
2500;310999;6797205;197003;0,95
2500;310999;6797205;197004;0,82
2500;310999;6797205;197005;0,657
2500;310999;6797205;197006;0,425
2500;310999;6797205;197007;0,248
2500;310999;6797205;197008;0,264
2500;310999;6797205;197009;0,22
2500;310999;6797205;197010;0,185
