"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS"
1250;639497;6882436;196001;0,516
1250;639497;6882436;196002;0,613
1250;639497;6882436;196003;0,738
1250;639497;6882436;196004;0,671
1250;639497;6882436;196005;0,428
1250;639497;6882436;196006;0,273
1250;639497;6882436;196007;0,233
1250;639497;6882436;196008;0,238
1250;639497;6882436;196009;0,195
1250;639497;6882436;196010;0,376
1250;639497;6882436;196011;0,694
1250;639497;6882436;196012;0,867
1250;639497;6882436;196101;0,974
1250;639497;6882436;196102;0,97
1250;639497;6882436;196103;0,788
1250;639497;6882436;196104;0,647
1250;639497;6882436;196105;0,445
1250;639497;6882436;196106;0,289
1250;639497;6882436;196107;0,125
1250;639497;6882436;196108;0,021
1250;639497;6882436;196109;0,005
1250;639497;6882436;196110;0,123
1250;639497;6882436;196111;0,251
1250;639497;6882436;196112;0,469
1250;639497;6882436;196201;0,632
1250;639497;6882436;196202;0,746
1250;639497;6882436;196203;0,772
1250;639497;6882436;196204;0,826
1250;639497;6882436;196205;0,636
1250;639497;6882436;196206;0,32
1250;639497;6882436;196207;0,2
1250;639497;6882436;196208;0,136
1250;639497;6882436;196209;0,096
1250;639497;6882436;196210;0,06
1250;639497;6882436;196211;0,266
1250;639497;6882436;196212;0,429
1250;639497;6882436;196301;0,545
1250;639497;6882436;196302;0,564
1250;639497;6882436;196303;0,625
1250;639497;6882436;196304;0,722
1250;639497;6882436;196305;0,634
1250;639497;6882436;196306;0,505
1250;639497;6882436;196307;0,332
1250;639497;6882436;196308;0,363
1250;639497;6882436;196309;0,48
1250;639497;6882436;196310;0,389
1250;639497;6882436;196311;0,544
1250;639497;6882436;196312;0,666
1250;639497;6882436;196401;0,684
1250;639497;6882436;196402;0,731
1250;639497;6882436;196403;0,848
1250;639497;6882436;196404;0,853
1250;639497;6882436;196405;0,654
1250;639497;6882436;196406;0,448
1250;639497;6882436;196407;0,203
1250;639497;6882436;196408;0,073
1250;639497;6882436;196409;0,02
1250;639497;6882436;196410;0,087
1250;639497;6882436;196411;0,237
