"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS"
7750;435481;6380527;196001;1,026
7750;435481;6380527;196002;0,902
7750;435481;6380527;196003;0,857
7750;435481;6380527;196004;0,78
7750;435481;6380527;196005;0,519
7750;435481;6380527;196006;0,334
7750;435481;6380527;196007;0,187
7750;435481;6380527;196008;0,625
7750;435481;6380527;196009;0,604
7750;435481;6380527;196010;0,956
7750;435481;6380527;196011;1,07
7750;435481;6380527;196012;1,062
7750;435481;6380527;196101;1,083
7750;435481;6380527;196102;0,983
7750;435481;6380527;196103;0,72
7750;435481;6380527;196104;0,619
7750;435481;6380527;196105;0,615
7750;435481;6380527;196106;0,427
7750;435481;6380527;196107;0,164
7750;435481;6380527;196108;0,073
7750;435481;6380527;196109;-0,013
7750;435481;6380527;196110;0,226
7750;435481;6380527;196111;0,514
7750;435481;6380527;196112;0,709
7750;435481;6380527;196201;0,941
7750;435481;6380527;196202;0,931
7750;435481;6380527;196203;0,917
7750;435481;6380527;196204;0,96
7750;435481;6380527;196205;0,76
7750;435481;6380527;196206;0,435
7750;435481;6380527;196207;0,158
7750;435481;6380527;196208;0,023
7750;435481;6380527;196209;-0,003
7750;435481;6380527;196210;0,052
7750;435481;6380527;196211;0,388
7750;435481;6380527;196212;0,66
7750;435481;6380527;196301;0,865
7750;435481;6380527;196302;0,918
7750;435481;6380527;196303;0,96
7750;435481;6380527;196304;0,938
7750;435481;6380527;196305;0,631
7750;435481;6380527;196306;0,667
7750;435481;6380527;196307;0,465
7750;435481;6380527;196308;0,447
7750;435481;6380527;196309;0,516
7750;435481;6380527;196310;0,612
7750;435481;6380527;196311;0,653
7750;435481;6380527;196312;0,834
7750;435481;6380527;196401;0,792
7750;435481;6380527;196402;0,817
7750;435481;6380527;196403;0,899
7750;435481;6380527;196404;0,903
7750;435481;6380527;196405;0,641
7750;435481;6380527;196406;0,521
7750;435481;6380527;196407;0,185
7750;435481;6380527;196408;0,039
7750;435481;6380527;196409;-0,005
7750;435481;6380527;196410;0,382
7750;435481;6380527;196411;0,531
7750;435481;6380527;196412;0,657
7750;435481;6380527;196501;0,896
7750;435481;6380527;196502;0,9
7750;435481;6380527;196503;0,949
7750;435481;6380527;196504;0,831
7750;435481;6380527;196505;0,708
7750;435481;6380527;196506;0,419
7750;435481;6380527;196507;0,198
7750;435481;6380527;196508;0,091
7750;435481;6380527;196509;0,442
7750;435481;6380527;196510;0,559
7750;435481;6380527;196511;0,842
7750;435481;6380527;196512;1,14
7750;435481;6380527;196601;1,068
7750;435481;6380527;196602;1,041
7750;435481;6380527;196603;0,897
7750;435481;6380527;196604;0,868
7750;435481;6380527;196605;0,725
7750;435481;6380527;196606;0,446
7750;435481;6380527;196607;0,285
7750;435481;6380527;196608;0,126
7750;435481;6380527;196609;0,055
7750;435481;6380527;196610;0,298
7750;435481;6380527;196611;0,632
7750;435481;6380527;196612;1,075
7750;435481;6380527;196701;1,02
7750;435481;6380527;196702;0,977
7750;435481;6380527;196703;0,909
7750;435481;6380527;196704;0,778
7750;435481;6380527;196705;0,629
7750;435481;6380527;196706;0,408
7750;435481;6380527;196707;0,157
7750;435481;6380527;196708;0,03
7750;435481;6380527;196709;0,073
7750;435481;6380527;196710;0,197
7750;435481;6380527;196711;0,477
7750;435481;6380527;196712;0,668
7750;435481;6380527;196801;0,929
7750;435481;6380527;196802;0,967
7750;435481;6380527;196803;0,858
7750;435481;6380527;196804;0,79
7750;435481;6380527;196805;0,655
7750;435481;6380527;196806;0,404
7750;435481;6380527;196807;0,192
7750;435481;6380527;196808;0,316
7750;435481;6380527;196809;0,456
7750;435481;6380527;196810;0,513
7750;435481;6380527;196811;0,603
7750;435481;6380527;196812;0,792
7750;435481;6380527;196901;1,006
7750;435481;6380527;196902;0,952
7750;435481;6380527;196903;0,983
7750;435481;6380527;196904;0,874
7750;435481;6380527;196905;0,848
7750;435481;6380527;196906;0,801
7750;435481;6380527;196907;0,474
7750;435481;6380527;196908;0,289
7750;435481;6380527;196909;0,456
7750;435481;6380527;196910;0,462
7750;435481;6380527;196911;0,621
7750;435481;6380527;196912;0,946
7750;435481;6380527;197001;1,002
7750;435481;6380527;197002;1,093
7750;435481;6380527;197003;0,964
7750;435481;6380527;197004;0,855
7750;435481;6380527;197005;0,77
7750;435481;6380527;197006;0,494
7750;435481;6380527;197007;0,245
7750;435481;6380527;197008;0,129
7750;435481;6380527;197009;0,033
7750;435481;6380527;197010;0,02
7750;435481;6380527;197011;0,186
7750;435481;6380527;197012;0,419
7750;435481;6380527;197101;0,674
7750;435481;6380527;197102;0,959
7750;435481;6380527;197103;0,924
7750;435481;6380527;197104;0,862
7750;435481;6380527;197105;0,874
7750;435481;6380527;197106;0,927
7750;435481;6380527;197107;0,569
7750;435481;6380527;197108;0,384
7750;435481;6380527;197109;0,268
7750;435481;6380527;197110;0,209
7750;435481;6380527;197111;0,339
7750;435481;6380527;197112;0,665
7750;435481;6380527;197201;0,836
7750;435481;6380527;197202;1,028
7750;435481;6380527;197203;0,963
7750;435481;6380527;197204;0,881
7750;435481;6380527;197205;0,842
7750;435481;6380527;197206;0,579
7750;435481;6380527;197207;0,233
7750;435481;6380527;197208;0,344
7750;435481;6380527;197209;0,388
7750;435481;6380527;197210;0,262
7750;435481;6380527;197211;0,324
7750;435481;6380527;197212;0,508
7750;435481;6380527;197301;0,643
7750;435481;6380527;197302;0,906
7750;435481;6380527;197303;0,882
7750;435481;6380527;197304;0,686
7750;435481;6380527;197305;0,588
7750;435481;6380527;197306;0,504
7750;435481;6380527;197307;0,321
7750;435481;6380527;197308;0,2
7750;435481;6380527;197309;0,142
7750;435481;6380527;197310;0,247
7750;435481;6380527;197311;0,287
7750;435481;6380527;197312;0,555
7750;435481;6380527;197401;0,705
7750;435481;6380527;197402;0,955
7750;435481;6380527;197403;0,975
7750;435481;6380527;197404;0,898
7750;435481;6380527;197405;0,744
7750;435481;6380527;197406;0,398
7750;435481;6380527;197407;0,157
7750;435481;6380527;197408;0,039
7750;435481;6380527;197409;0,117
7750;435481;6380527;197410;0,474
7750;435481;6380527;197411;0,727
7750;435481;6380527;197412;0,912
7750;435481;6380527;197501;0,921
7750;435481;6380527;197502;0,92
7750;435481;6380527;197503;0,937
7750;435481;6380527;197504;0,92
7750;435481;6380527;197505;0,675
7750;435481;6380527;197506;0,513
7750;435481;6380527;197507;0,203
7750;435481;6380527;197508;0,058
7750;435481;6380527;197509;0,144
7750;435481;6380527;197510;0,214
7750;435481;6380527;197511;0,313
7750;435481;6380527;197512;0,559
7750;435481;6380527;197601;0,589
7750;435481;6380527;197602;0,725
7750;435481;6380527;197603;0,772
7750;435481;6380527;197604;0,696
7750;435481;6380527;197605;0,473
7750;435481;6380527;197606;0,213
7750;435481;6380527;197607;0,13
7750;435481;6380527;197608;0,022
7750;435481;6380527;197609;0,138
7750;435481;6380527;197610;0,335
7750;435481;6380527;197611;0,681
7750;435481;6380527;197612;0,987
7750;435481;6380527;197701;0,989
7750;435481;6380527;197702;1,097
7750;435481;6380527;197703;0,954
7750;435481;6380527;197704;0,901
7750;435481;6380527;197705;0,846
7750;435481;6380527;197706;0,84
7750;435481;6380527;197707;0,86
7750;435481;6380527;197708;0,658
7750;435481;6380527;197709;0,389
7750;435481;6380527;197710;0,322
7750;435481;6380527;197711;0,378
7750;435481;6380527;197712;0,581
7750;435481;6380527;197801;0,805
7750;435481;6380527;197802;1,046
7750;435481;6380527;197803;0,986
7750;435481;6380527;197804;0,938
7750;435481;6380527;197805;0,893
7750;435481;6380527;197806;0,654
7750;435481;6380527;197807;0,434
7750;435481;6380527;197808;0,331
7750;435481;6380527;197809;0,156
7750;435481;6380527;197810;0,075
7750;435481;6380527;197811;0,057
7750;435481;6380527;197812;0,273
7750;435481;6380527;197901;0,77
7750;435481;6380527;197902;1,069
7750;435481;6380527;197903;0,973
7750;435481;6380527;197904;1,014
7750;435481;6380527;197905;0,886
7750;435481;6380527;197906;0,755
7750;435481;6380527;197907;0,364
7750;435481;6380527;197908;0,173
7750;435481;6380527;197909;0,139
7750;435481;6380527;197910;0,214
7750;435481;6380527;197911;0,383
7750;435481;6380527;197912;0,606
7750;435481;6380527;198001;0,951
7750;435481;6380527;198002;0,978
7750;435481;6380527;198003;1,03
7750;435481;6380527;198004;0,829
7750;435481;6380527;198005;0,733
7750;435481;6380527;198006;0,637
7750;435481;6380527;198007;0,483
7750;435481;6380527;198008;0,218
7750;435481;6380527;198009;0,11
7750;435481;6380527;198010;0,316
7750;435481;6380527;198011;0,461
7750;435481;6380527;198012;0,625
7750;435481;6380527;198101;0,891
7750;435481;6380527;198102;0,915
7750;435481;6380527;198103;0,943
7750;435481;6380527;198104;0,827
7750;435481;6380527;198105;0,863
7750;435481;6380527;198106;0,699
7750;435481;6380527;198107;0,444
7750;435481;6380527;198108;0,208
7750;435481;6380527;198109;0,149
7750;435481;6380527;198110;0,465
7750;435481;6380527;198111;0,63
7750;435481;6380527;198112;0,99
7750;435481;6380527;198201;1,033
7750;435481;6380527;198202;0,941
7750;435481;6380527;198203;0,971
7750;435481;6380527;198204;0,721
7750;435481;6380527;198205;0,478
7750;435481;6380527;198206;0,427
7750;435481;6380527;198207;0,199
7750;435481;6380527;198208;0,116
7750;435481;6380527;198209;0,047
7750;435481;6380527;198210;0,477
7750;435481;6380527;198211;0,808
7750;435481;6380527;198212;1,06
7750;435481;6380527;198301;0,926
7750;435481;6380527;198302;0,934
7750;435481;6380527;198303;0,941
7750;435481;6380527;198304;0,959
7750;435481;6380527;198305;0,865
7750;435481;6380527;198306;0,522
7750;435481;6380527;198307;0,348
7750;435481;6380527;198308;0,167
7750;435481;6380527;198309;0,109
7750;435481;6380527;198310;0,069
7750;435481;6380527;198311;0,108
7750;435481;6380527;198312;0,3
7750;435481;6380527;198401;0,67
7750;435481;6380527;198402;1,028
7750;435481;6380527;198403;0,892
7750;435481;6380527;198404;0,825
7750;435481;6380527;198405;0,73
7750;435481;6380527;198406;0,786
7750;435481;6380527;198407;0,338
7750;435481;6380527;198408;0,202
7750;435481;6380527;198409;0,244
7750;435481;6380527;198410;0,656
7750;435481;6380527;198411;0,826
7750;435481;6380527;198412;0,964
7750;435481;6380527;198501;0,97
7750;435481;6380527;198502;1,01
7750;435481;6380527;198503;0,98
7750;435481;6380527;198504;0,903
7750;435481;6380527;198505;0,832
7750;435481;6380527;198506;0,56
7750;435481;6380527;198507;0,298
7750;435481;6380527;198508;0,106
7750;435481;6380527;198509;-0,011
7750;435481;6380527;198510;-0,027
7750;435481;6380527;198511;0,13
7750;435481;6380527;198512;0,232
7750;435481;6380527;198601;0,731
7750;435481;6380527;198602;1,009
7750;435481;6380527;198603;0,948
7750;435481;6380527;198604;0,993
7750;435481;6380527;198605;0,844
7750;435481;6380527;198606;0,455
7750;435481;6380527;198607;0,191
7750;435481;6380527;198608;0,114
7750;435481;6380527;198609;0,077
7750;435481;6380527;198610;0,108
7750;435481;6380527;198611;0,25
7750;435481;6380527;198612;0,384
7750;435481;6380527;198701;0,591
7750;435481;6380527;198702;0,645
7750;435481;6380527;198703;0,688
7750;435481;6380527;198704;0,731
7750;435481;6380527;198705;0,458
7750;435481;6380527;198706;0,341
7750;435481;6380527;198707;0,24
7750;435481;6380527;198708;0,147
7750;435481;6380527;198709;0,102
7750;435481;6380527;198710;0,293
7750;435481;6380527;198711;0,488
7750;435481;6380527;198712;0,614
7750;435481;6380527;198801;0,825
7750;435481;6380527;198802;1,054
7750;435481;6380527;198803;0,981
7750;435481;6380527;198804;0,994
7750;435481;6380527;198805;0,985
7750;435481;6380527;198806;0,777
7750;435481;6380527;198807;0,482
7750;435481;6380527;198808;0,187
7750;435481;6380527;198809;0,094
7750;435481;6380527;198810;0,081
7750;435481;6380527;198811;0,05
7750;435481;6380527;198812;0,219
7750;435481;6380527;198901;0,313
7750;435481;6380527;198902;0,327
7750;435481;6380527;198903;0,653
7750;435481;6380527;198904;0,906
7750;435481;6380527;198905;0,646
7750;435481;6380527;198906;0,289
7750;435481;6380527;198907;0,16
7750;435481;6380527;198908;0,037
7750;435481;6380527;198909;-0,001
7750;435481;6380527;198910;0,007
7750;435481;6380527;198911;0,233
7750;435481;6380527;198912;0,253
7750;435481;6380527;199001;0,36
7750;435481;6380527;199002;0,635
7750;435481;6380527;199003;0,616
7750;435481;6380527;199004;0,555
7750;435481;6380527;199005;0,399
7750;435481;6380527;199006;0,245
7750;435481;6380527;199007;0,093
7750;435481;6380527;199008;0,001
7750;435481;6380527;199009;0,005
7750;435481;6380527;199010;0,08
7750;435481;6380527;199011;0,73
7750;435481;6380527;199012;0,959
7750;435481;6380527;199101;0,954
7750;435481;6380527;199102;0,937
7750;435481;6380527;199103;0,842
7750;435481;6380527;199104;0,753
7750;435481;6380527;199105;0,663
7750;435481;6380527;199106;0,323
7750;435481;6380527;199107;0,147
7750;435481;6380527;199108;0,029
7750;435481;6380527;199109;0,055
7750;435481;6380527;199110;0,192
7750;435481;6380527;199111;0,502
7750;435481;6380527;199112;0,68
7750;435481;6380527;199201;0,784
7750;435481;6380527;199202;0,767
7750;435481;6380527;199203;0,676
7750;435481;6380527;199204;0,688
7750;435481;6380527;199205;0,386
7750;435481;6380527;199206;0,525
7750;435481;6380527;199207;0,516
7750;435481;6380527;199208;0,312
7750;435481;6380527;199209;0,405
7750;435481;6380527;199210;0,597
7750;435481;6380527;199211;0,933
7750;435481;6380527;199212;1,016
7750;435481;6380527;199301;0,857
7750;435481;6380527;199302;0,739
7750;435481;6380527;199303;0,63
7750;435481;6380527;199304;0,694
7750;435481;6380527;199305;0,718
7750;435481;6380527;199306;0,525
7750;435481;6380527;199307;0,376
7750;435481;6380527;199308;0,177
7750;435481;6380527;199309;0,284
7750;435481;6380527;199310;0,672
7750;435481;6380527;199311;0,662
7750;435481;6380527;199312;0,88
7750;435481;6380527;199401;1,08
7750;435481;6380527;199402;0,992
7750;435481;6380527;199403;0,825
7750;435481;6380527;199404;0,901
7750;435481;6380527;199405;0,699
7750;435481;6380527;199406;0,444
7750;435481;6380527;199407;0,197
7750;435481;6380527;199408;0,066
7750;435481;6380527;199409;0,182
7750;435481;6380527;199410;0,349
7750;435481;6380527;199411;0,535
7750;435481;6380527;199412;0,585
7750;435481;6380527;199501;0,871
7750;435481;6380527;199502;1,018
7750;435481;6380527;199503;0,983
7750;435481;6380527;199504;0,653
7750;435481;6380527;199505;0,398
7750;435481;6380527;199506;0,17
7750;435481;6380527;199507;0,093
7750;435481;6380527;199508;0,005
