"Certaines données sont associées à l'ancienne version du formulaire incendie. Consultez la documentation pour plus d'informations."
"Nombre d'incendies suivant les critères de sélection : 26357"
"Critères de sélection =>";"Date de première alerte, de : 1990-01-01 00:00:00";"Date de première alerte, jusqu'à : 1999-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
1990;410;"13";"13107";"Simiane-Collongue";"1990-01-01 00:44:00";2000;940;960;0;;;;;;100;;;;;;;;""
1990;2726;"83";"83059";"Forcalqueiret";"1990-01-01 10:02:00";1000;470;480;0;;;;;;50;;"1";"Accidentelle";;;;;""
1990;145;"06";"06162";"La Brigue";"1990-01-01 17:00:00";600000;282000;288000;0;;;;;;30000;;"1";;;;;;""
1990;2727;"83";"83063";"La Garde-Freinet";"1990-01-01 17:10:00";10000;4700;4800;0;;;;;;500;;;"Involontaire (travaux)";;;;;""
1990;1140;"2B";"2B122";"Gavignano";"1990-01-01 18:15:00";10000;4700;4800;0;;;;;;500;;;;;;;;""
1990;2728;"83";"83138";"Tourrettes";"1990-01-02 17:15:00";10000;4700;4800;0;;;;;;500;;;;;;;;""
1990;607;"2A";"2A028";"Balogna";"1990-01-03 12:00:00";5000;2350;2400;0;;;;;;250;;;;;;;;""
1990;75;"06";"06151";"Utelle";"1990-01-03 14:25:00";30000;14100;14400;0;;;;;;1500;;;;;;;;""
1990;608;"2A";"2A041";"Bonifacio";"1990-01-04 10:26:00";1000;470;480;0;;;;;;50;;;;;;;;""
1990;594;"13";"13055";"Marseille";"1990-01-04 13:19:00";5000;2350;2400;0;;;;;;250;;"1";"Involontaire (travaux)";;;;;""
1990;3191;"84";"84101";"La Roque-sur-Pernes";"1990-01-04 14:41:00";10000;4700;4800;0;;;;;;500;;"5";;;;;;""
1990;3192;"84";"84144";"Viens";"1990-01-04 15:06:00";1000;470;480;0;;;;;;50;;"1";;;;;;""
1990;1141;"2B";"2B120";"Furiani";"1990-01-04 15:32:00";3000;1410;1440;0;;;;;;150;;;;;;;;""
1990;1142;"2B";"2B033";"Bastia";"1990-01-04 15:42:00";1000;470;480;0;;;;;;50;;;;;;;;""
1990;2729;"83";"83003";"Ampus";"1990-01-05 15:25:00";1000;470;480;0;;;;;;50;;"1";"Involontaire (travaux)";;;;;""
1990;1143;"2B";"2B109";"Farinole";"1990-01-05 17:35:00";1000;470;480;0;;;;;;50;;;;;;;;""
1990;411;"13";"13044";"Grans";"1990-01-06 16:51:00";3000;1410;1440;0;;;;;;150;;;;;;;;""
1990;61;"06";"06148";"Tourrettes-sur-Loup";"1990-01-07 13:45:00";15000;7050;7200;0;;;;;;750;;;;;;;;""
1990;84;"06";"06148";"Tourrettes-sur-Loup";"1990-01-07 13:45:00";15000;7050;7200;0;;;;;;750;;;;;;;;""
1990;104;"06";"06148";"Tourrettes-sur-Loup";"1990-01-07 13:45:00";15000;7050;7200;0;;;;;;750;;;;;;;;""
1990;65;"06";"06050";"Coursegoules";"1990-01-09 11:00:00";150000;70500;72000;0;;;;;;7500;;"1";;;;;;""
1990;3193;"84";"84112";"Saint-Martin-de-Castillon";"1990-01-11 15:40:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
1990;155;"07";"07064";"Le Cheylard";"1990-01-12 14:59:00";15000;7050;7200;0;;;;;;750;;"1";"Involontaire (travaux)";;;;;""
1990;2630;"48";"48117";"Pourcharesses";"1990-01-13 12:00:00";30000;14100;14400;0;;;;;;1500;;;"Accidentelle";;;;;""
1990;2730;"83";"83004";"Les Arcs";"1990-01-13 13:40:00";6000;2820;2880;0;;;;;;300;;"1";"Involontaire (travaux)";;;;;""
1990;156;"07";"07315";"La Souche";"1990-01-13 14:00:00";5000;2350;2400;0;;;;;;250;;"1";"Involontaire (travaux)";;;;;""
1990;109;"06";"06086";"Moulinet";"1990-01-13 14:30:00";30000;14100;14400;0;;;;;;1500;;;"Involontaire (travaux)";;;;;""
1990;64;"06";"06050";"Coursegoules";"1990-01-13 17:45:00";2000;940;960;0;;;;;;100;;;;;;;;""
1990;63;"06";"06050";"Coursegoules";"1990-01-14 14:30:00";2000;940;960;0;;;;;;100;;;;;;;;""
1990;2365;"26";"26043";"Beauvoisin";"1990-01-14 15:33:00";50000;23500;24000;0;;;;;;2500;;"1";"Involontaire (travaux)";;;;;""
1990;2631;"48";"48015";"Pied-de-Borne";"1990-01-14 16:25:00";50000;23500;24000;0;;;;;;2500;;;"Involontaire (travaux)";;;;;""
1990;157;"07";"07230";"Saint-Étienne-de-Boulogne";"1990-01-15 14:59:00";5000;2350;2400;0;;;;;;250;;"1";"Involontaire (travaux)";;;;;""
1990;2731;"83";"83140";"Tourves";"1990-01-15 15:35:00";5000;2350;2400;0;;;;;;250;;"1";"Involontaire (travaux)";;;;;""
1990;62;"06";"06022";"Bouyon";"1990-01-16 11:00:00";120000;56400;57600;0;;;;;;6000;;"1";;;;;;""
1990;3194;"84";"84059";"Lafare";"1990-01-16 14:28:00";2000;940;960;0;;;;;;100;;;"Involontaire (travaux)";;;;;""
1990;15;"05";"05145";"Saint-Jean-Saint-Nicolas";"1990-01-17 13:00:00";100000;47000;48000;0;;;;;;5000;;"1";;;;;;""
1990;74;"06";"06028";"Caille";"1990-01-17 16:00:00";70000;32900;33600;0;;;;;;3500;;;;;;;;""
1990;60;"06";"06070";"Gréolières";"1990-01-18 18:00:00";1000;470;480;0;;;;;;50;;;;;;;;""
1990;2366;"26";"26161";"Lemps";"1990-01-19 12:39:00";1000;470;480;0;;;;;;50;;"6";;;;;;""
1990;110;"06";"06136";"Sospel";"1990-01-19 13:10:00";150000;70500;72000;0;;;;;;7500;;"1";"Involontaire (travaux)";;;;;""
1990;2732;"83";"83096";"Pourcieux";"1990-01-19 14:16:00";1000;470;480;0;;;;;;50;;"1";"Involontaire (travaux)";;;;;""
1990;59;"06";"06050";"Coursegoules";"1990-01-19 14:30:00";2000;940;960;0;;;;;;100;;;;;;;;""
1990;365;"11";"11394";"Tourreilles";"1990-01-19 15:30:00";10000;4700;4800;0;;;;;;500;;;"Involontaire (travaux)";;;;;""
1990;17;"05";"05107";"Puy-Saint-André";"1990-01-19 15:58:00";100000;47000;48000;0;;;;;;5000;;"1";;;;;;""
1990;58;"06";"06070";"Gréolières";"1990-01-19 17:00:00";5000;2350;2400;0;;;;;;250;;;;;;;;""
1990;16;"05";"05179";"Veynes";"1990-01-19 22:44:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
1990;2548;"34";"34197";"Péret";"1990-01-20 11:20:00";1000;470;480;0;;;;;;50;;"1";;;;;;""
1990;158;"07";"07161";"Montpezat-sous-Bauzon";"1990-01-20 12:10:00";5000;2350;2400;0;;;;;;250;;"1";;;;;;""
1990;2636;"48";"48155";"Saint-Germain-de-Calberte";"1990-01-20 13:15:00";30000;14100;14400;0;;;;;;1500;;;"Involontaire (travaux)";;;;;""
1990;2733;"83";"83093";"Plan-d'Aups-Sainte-Baume";"1990-01-20 13:36:00";20000;9400;9600;0;;;;;;1000;;;"Involontaire (travaux)";;;;;""
1990;2633;"48";"48014";"Bagnols-les-Bains";"1990-01-20 14:00:00";25000;11750;12000;0;;;;;;1250;;;"Involontaire (travaux)";;;;;""
1990;161;"07";"07154";"Mazan-l'Abbaye";"1990-01-20 14:00:00";5000;2350;2400;0;;;;;;250;;"1";"Involontaire (travaux)";;;;;""
1990;159;"07";"07147";"Malarce-sur-la-Thines";"1990-01-20 14:30:00";3000;1410;1440;0;;;;;;150;;"1";"Involontaire (travaux)";;;;;""
1990;162;"07";"07215";"Saint-Barthélemy-le-Meil";"1990-01-20 14:40:00";10000;4700;4800;0;;;;;;500;;"1";"Involontaire (travaux)";;;;;""
1990;412;"13";"13048";"Jouques";"1990-01-20 14:59:00";25000;11750;12000;0;;;;;;1250;;;;;;;;""
1990;2632;"48";"48119";"Prévenchères";"1990-01-20 15:00:00";60000;28200;28800;0;;;;;;3000;;;"Involontaire (travaux)";;;;;""
1990;163;"07";"07210";"Saint-Andéol-de-Vals";"1990-01-20 15:05:00";5000;2350;2400;0;;;;;;250;;"1";"Involontaire (travaux)";;;;;""
1990;164;"07";"07075";"Cros-de-Géorand";"1990-01-20 15:30:00";10000;4700;4800;0;;;;;;500;;"1";"Involontaire (travaux)";;;;;""
1990;165;"07";"07070";"Cornas";"1990-01-20 16:00:00";10000;4700;4800;0;;;;;;500;;;;;;;;""
1990;160;"07";"07081";"Dompnac";"1990-01-20 16:05:00";350000;164500;168000;0;;;;;;17500;;;"Involontaire (travaux)";;;;;""
1990;2401;"30";"30201";"Ponteils-et-Brésis";"1990-01-20 16:15:00";10000;4700;4800;0;;;;;;500;;;;;;;;""
1990;167;"07";"07108";"Jaunac";"1990-01-20 16:45:00";15000;7050;7200;0;;;;;;750;;"1";"Involontaire (travaux)";;;;;""
1990;166;"07";"07100";"Gravières";"1990-01-20 16:50:00";40000;18800;19200;0;;;;;;2000;;;"Involontaire (travaux)";;;;;""
1990;1145;"2B";"2B171";"Muracciole";"1990-01-20 18:15:00";1000;470;480;0;;;;;;50;;;;;;;;""
1990;1144;"2B";"2B354";"Vivario";"1990-01-20 18:15:00";30000;14100;14400;0;;;;;;1500;;;"Involontaire (travaux)";;;;;""
1990;2549;"34";"34038";"Le Bousquet-d'Orb";"1990-01-21 09:45:00";1000;470;480;0;;;;;;50;;"1";;;;;;""
1990;2402;"30";"30339";"Valleraugue";"1990-01-21 11:00:00";15000;7050;7200;0;;;;;;750;;"3";;;;;;""
1990;66;"06";"06003";"Andon";"1990-01-21 11:45:00";40000;18800;19200;0;;;;;;2000;;"1";"Involontaire (travaux)";;;;;""
1990;57;"06";"06050";"Coursegoules";"1990-01-21 13:00:00";10000;4700;4800;0;;;;;;500;;;;;;;;""
1990;2734;"83";"83143";"Le Val";"1990-01-21 13:18:00";1000;470;480;0;;;;;;50;;"1";"Involontaire (travaux)";;;;;""
1990;2403;"30";"30201";"Ponteils-et-Brésis";"1990-01-21 14:30:00";3000;1410;1440;0;;;;;;150;;;"Involontaire (travaux)";;;;;""
1990;168;"07";"07154";"Mazan-l'Abbaye";"1990-01-22 06:30:00";10000;4700;4800;0;;;;;;500;;"1";"Involontaire (travaux)";;;;;""
1990;169;"07";"07266";"Sainte-Marguerite-Lafigère";"1990-01-22 09:50:00";20000;9400;9600;0;;;;;;1000;;;"Involontaire (travaux)";;;;;""
1990;2634;"48";"48015";"Pied-de-Borne";"1990-01-22 11:30:00";25000;11750;12000;0;;;;;;1250;;;"Involontaire (travaux)";;;;;""
1990;170;"07";"07334";"Les Vans";"1990-01-22 11:40:00";10000;4700;4800;0;;;;;;500;;;;;;;;""
1990;2404;"30";"30310";"Saumane";"1990-01-22 12:30:00";100000;47000;48000;0;;;;;;5000;;"3";"Involontaire (travaux)";;;;;""
1990;366;"11";"11435";"Villerouge-Termenès";"1990-01-22 14:00:00";20000;9400;9600;0;;;;;;1000;;"1";;;;;;""
1990;2635;"48";"48198";"Villefort";"1990-01-22 14:20:00";30000;14100;14400;0;;;;;;1500;;;"Involontaire (travaux)";;;;;""
1990;1146;"2B";"2B246";"La Porta";"1990-01-22 15:45:00";1000;470;480;0;;;;;;50;;;;;;;;""
1990;56;"06";"06050";"Coursegoules";"1990-01-22 16:30:00";5000;2350;2400;0;;;;;;250;;;;;;;;""
1990;2405;"30";"30297";"Saint-Sauveur-Camprieu";"1990-01-22 17:00:00";1000;470;480;0;;;;;;50;;"1";"Involontaire (travaux)";;;;;""
1990;1147;"2B";"2B007";"Albertacce";"1990-01-22 17:03:00";40000;18800;19200;0;;;;;;2000;;;;;;;;""
1990;3195;"84";"84142";"Velleron";"1990-01-22 23:43:00";1000;470;480;0;;;;;;50;;"1";;;;;;""
1990;1148;"2B";"2B280";"Silvareccio";"1990-01-23 04:28:00";1000;470;480;0;;;;;;50;;;;;;;;""
1990;171;"07";"07098";"Gourdon";"1990-01-23 10:35:00";80000;37600;38400;0;;;;;;4000;;"1";;;;;;""
1990;367;"11";"11123";"Duilhac-sous-Peyrepertuse";"1990-01-23 11:30:00";30000;14100;14400;0;;;;;;1500;;"1";;;;;;""
1990;172;"07";"07006";"Albon";"1990-01-23 13:10:00";5000;2350;2400;0;;;;;;250;;"1";"Involontaire (travaux)";;;;;""
1990;609;"2A";"2A089";"Ciamannacce";"1990-01-23 14:05:00";10000;4700;4800;0;;;;;;500;;;;;;;;""
1990;173;"07";"07232";"Saint-Étienne-de-Lugdarès";"1990-01-23 15:05:00";150000;70500;72000;0;;;;;;7500;;"1";"Involontaire (travaux)";;;;;""
1990;2637;"48";"48127";"Rieutort-de-Randon";"1990-01-23 17:00:00";200000;94000;96000;0;;;;;;10000;;;;;;;;""
1990;1150;"2B";"2B354";"Vivario";"1990-01-24 09:45:00";1000;470;480;0;;;;;;50;;;;;;;;""
1990;1149;"2B";"2B286";"Sorbo-Ocagnano";"1990-01-24 10:44:00";1000;470;480;0;;;;;;50;;;;;;;;""
1990;174;"07";"07315";"La Souche";"1990-01-24 13:00:00";285000;133950;136800;0;;;;;;14250;;"1";"Involontaire (travaux)";;;;;""
1990;610;"2A";"2A200";"Palneca";"1990-01-24 16:00:00";3000;1410;1440;0;;;;;;150;;;;;;;;""
1990;1151;"2B";"2B190";"Olmi-Cappella";"1990-01-24 16:20:00";1000;470;480;0;;;;;;50;;;;;;;;""
