"Certaines données sont associées à l'ancienne version du formulaire incendie. Consultez la documentation pour plus d'informations."
"Nombre d'incendies suivant les critères de sélection : 25067"
"Critères de sélection =>";"Date de première alerte, de : 2000-01-01 00:00:00";"Date de première alerte, jusqu'à : 2009-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
2000;2644;"48";"48001";"Albaret-le-Comtal";"2000-01-01 01:01:00";1000;470;480;0;;;;;;50;;;;;;;;""
2000;506;"2B";"2B303";"San-Giuliano";"2000-01-01 17:41:00";20000;0;20000;;;;;;;;;"1";;;;;;""
2000;2067;"2A";"2A348";"Vico";"2000-01-02 12:15:00";80;38;38;0;;;;;;4;;"1";;;;;;""
2000;928;"06";"06147";"Tourrette-Levens";"2000-01-02 13:50:00";100;0;100;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
2000;1380;"06";"06010";"Le Bar-sur-Loup";"2000-01-03 16:00:00";2000;0;2000;;;;;;;;;"1";;;;;;""
2000;69;"83";"83008";"Bagnols-en-Forêt";"2000-01-04 08:05:00";250;250;0;;;;;;;;;"5";"Involontaire (particulier)";;;;;""
2000;1382;"06";"06017";"Bézaudun-les-Alpes";"2000-01-04 12:15:00";152000;0;152000;;;;;;;;;"1";;;;;;""
2000;1381;"06";"06010";"Le Bar-sur-Loup";"2000-01-04 15:40:00";500;0;500;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
2000;508;"2B";"2B049";"Calenzana";"2000-01-05 10:24:00";5000;0;5000;;;;;;;;;"1";;;;;;""
2000;507;"2B";"2B049";"Calenzana";"2000-01-05 10:24:00";5000;0;5000;;;;;;;;;"1";;;;;;""
2000;496;"13";"13084";"La Roque-d'Anthéron";"2000-01-05 14:29:00";500;235;240;0;;;;;;25;;;"Involontaire (particulier)";;;;;""
2000;497;"13";"13081";"Rognac";"2000-01-07 21:37:00";40;19;19;0;;;;;;2;;;"Accidentelle";;;;;""
2000;1383;"06";"06098";"Puget-Rostang";"2000-01-08 13:27:00";61400;61400;0;;;;;;;;;"3";;;;;;""
2000;510;"2B";"2B293";"Sant'Andréa-di-Cotone";"2000-01-08 15:10:00";10;0;10;;;;;;;;;"1";;;;;;""
2000;509;"2B";"2B293";"Sant'Andréa-di-Cotone";"2000-01-08 15:10:00";8000;0;8000;;;;;;;;;"1";;;;;;""
2000;1384;"06";"06163";"Tende";"2000-01-12 13:13:00";45000;0;45000;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
2000;73;"83";"83032";"Carcès";"2000-01-12 14:46:00";500;500;0;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
2000;1386;"06";"06050";"Coursegoules";"2000-01-13 14:20:00";800;0;800;;;;;;;;;"1";"Malveillance";;;;;""
2000;318;"66";"66068";"Escaro";"2000-01-13 18:32:00";1000;470;480;0;;;;;;50;;"1";"Involontaire (travaux)";;;;;""
2000;1385;"06";"06088";"Nice";"2000-01-13 20:07:00";300;0;300;;;;;;;;;"1";;;;;;""
2000;165;"04";"04116";"Les Mées";"2000-01-17 20:35:00";1500;0;1500;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
2000;2643;"07";"07280";"Saint-Paul-le-Jeune";"2000-01-18 18:42:00";500;0;500;;;;;;;;;"1";;;;;;""
2000;166;"04";"04090";"Le Fugeret";"2000-01-18 18:46:00";80000;30000;50000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
2000;564;"30";"30052";"Bréau-et-Salagosse";"2000-01-19 16:22:00";20000;9400;9600;0;;;;;;1000;;"1";;;;;;""
2000;316;"66";"66125";"Olette";"2000-01-20 09:15:00";10000;4700;4800;0;;;;;;500;;"1";"Malveillance";;;;;""
2000;1387;"06";"06026";"Cabris";"2000-01-20 10:56:00";600;0;600;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
2000;2985;"48";"48134";"Saint-Andéol-de-Clerguemort";"2000-01-20 11:00:00";10000;0;10000;;;;;;;;;;"Involontaire (travaux)";;;;;""
2000;2819;"07";"07331";"Vals-les-Bains";"2000-01-20 15:04:00";5000;0;5000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
2000;511;"2B";"2B147";"Lozzi";"2000-01-20 17:26:00";500;0;500;;;;;;;;;"1";;;;;;""
2000;317;"66";"66148";"Port-Vendres";"2000-01-20 18:53:00";10000;4700;4800;0;;;;;;500;;"1";"Malveillance";;;;;""
2000;1388;"06";"06148";"Tourrettes-sur-Loup";"2000-01-21 13:00:00";13000;0;13000;;;;;;;;;"1";"Malveillance";;;;;""
2000;1389;"06";"06050";"Coursegoules";"2000-01-21 15:08:00";535000;0;535000;;;;;;;;;"1";"Malveillance";;;;;""
2000;379;"84";"84037";"Châteauneuf-du-Pape";"2000-01-21 17:07:00";500;0;500;;;;;;;;;"1";;;;;;""
2000;9181;"34";"34268";"Saint-Jean-de-la-Blaquière";"2000-01-21 19:00:00";10000;4700;4800;0;;;;;;500;;;;;;;;""
2000;1424;"04";"04081";"Esparron-de-Verdon";"2000-01-22 14:40:00";5000;5000;0;;;;;;;;;"1";;;;;;""
2000;95;"83";"83085";"La Motte";"2000-01-22 21:10:00";100;100;0;;;;;;;;;"4";"Malveillance";;;;;""
2000;2820;"07";"07331";"Vals-les-Bains";"2000-01-23 12:00:00";5000;0;5000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
2000;1425;"04";"04209";"Sisteron";"2000-01-23 16:31:00";60000;30000;30000;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
2000;2068;"2A";"2A348";"Vico";"2000-01-24 17:41:00";1000;470;480;0;;;;;;50;;"1";"Involontaire (particulier)";;;;;""
2000;103;"83";"83117";"Saint-Paul-en-Forêt";"2000-01-24 18:00:00";3000;3000;0;;;;;;;;;"3";;;;;;""
2000;1391;"06";"06070";"Gréolières";"2000-01-24 18:55:00";50;0;50;;;;;;;;;"1";"Malveillance";;;;;""
2000;104;"83";"83107";"Roquebrune-sur-Argens";"2000-01-25 18:26:00";500;500;0;;;;;;;;;"1";;;;;;""
2000;109;"83";"83041";"Claviers";"2000-01-26 12:10:00";50;50;0;;;;;;;;;"1";;;;;;""
2000;512;"2B";"2B329";"Tralonca";"2000-01-27 13:35:00";30000;0;30000;;;;;;;;;"1";;;;;;""
2000;110;"83";"83067";"Gonfaron";"2000-01-27 18:16:00";200;200;0;;;;;;;;;"3";"Involontaire (particulier)";;;;;""
2000;513;"2B";"2B205";"Patrimonio";"2000-01-28 09:20:00";200;0;200;;;;;;;;;"1";;;;;;""
2000;114;"83";"83039";"Châteauvert";"2000-01-28 14:59:00";20000;20000;0;;;;;;;;;"5";"Involontaire (particulier)";;;;;""
2000;514;"2B";"2B341";"Venaco";"2000-01-28 15:43:00";5000;0;5000;;;;;;;;;"1";;;;;;""
2000;113;"83";"83072";"Lorgues";"2000-01-28 15:45:00";200;200;0;;;;;;;;;"4";"Involontaire (particulier)";;;;;""
2000;1426;"04";"04218";"Thorame-Basse";"2000-01-28 19:45:00";180000;30000;150000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
2000;1392;"06";"06050";"Coursegoules";"2000-01-28 21:40:00";2000;0;2000;;;;;;;;;"1";"Malveillance";;;;;""
2000;115;"83";"83023";"Brignoles";"2000-01-29 11:30:00";1000;1000;0;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
2000;116;"83";"83124";"Seillans";"2000-01-29 13:49:00";3000;3000;0;;;;;;;;;"5";"Involontaire (particulier)";;;;;""
2000;1398;"06";"06005";"Ascros";"2000-01-29 16:13:00";200;0;200;;;;;;;;;"1";;;;;;""
2000;117;"83";"83151";"Vins-sur-Caramy";"2000-01-29 16:35:00";400;400;0;;;;;;;;;"5";;;;;;""
2000;120;"83";"83056";"Figanières";"2000-01-29 17:45:00";1000;1000;0;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
2000;515;"2B";"2B107";"Ersa";"2000-01-29 18:23:00";30000;0;30000;;;;;;;;;"1";;;;;;""
2000;119;"83";"83086";"Le Muy";"2000-01-29 19:00:00";1000;1000;0;;;;;;;;;"1";;;;;;""
2000;118;"83";"83085";"La Motte";"2000-01-29 19:28:00";300;300;0;;;;;;;;;"4";;;;;;""
2000;498;"13";"13063";"Miramas";"2000-01-29 22:21:00";250;118;120;0;;;;;;12;;;"Involontaire (particulier)";;;;;""
2000;319;"66";"66125";"Olette";"2000-01-30 06:30:00";10000;4700;4800;0;;;;;;500;;"1";"Malveillance";;;;;""
2000;1399;"06";"06098";"Puget-Rostang";"2000-01-30 12:24:00";24000;24000;0;;;;;;;;;"4";"Malveillance";;;;;""
2000;501;"13";"13082";"Rognes";"2000-01-30 12:59:00";10000;4700;4800;0;;;;;;500;;;"Involontaire (particulier)";;;;;""
2000;499;"13";"13091";"Saint-Cannat";"2000-01-30 13:38:00";120000;56400;57600;0;;;;;;6000;;;"Involontaire (travaux)";;;;;""
2000;1427;"04";"04152";"Pierrevert";"2000-01-30 14:30:00";3000;3000;0;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
2000;1162;"26";"26345";"Suze-la-Rousse";"2000-01-30 15:03:00";4000;4000;0;;;;;;;;;"5";"Accidentelle";;;;;""
2000;129;"83";"83085";"La Motte";"2000-01-30 15:05:00";2000;2000;0;;;;;;;;;"5";;;;;;""
2000;1400;"06";"06098";"Puget-Rostang";"2000-01-30 15:12:00";147000;147000;0;;;;;;;;;"5";"Involontaire (travaux)";;;;;""
2000;3075;"48";"48163";"Saint-Julien-des-Points";"2000-01-31 14:47:00";200;200;0;;;;;;;;;;"Involontaire (travaux)";;;;;""
2000;1428;"04";"04039";"Castellane";"2000-01-31 16:01:00";10000;0;10000;;;;;;;;;;"Involontaire (travaux)";;;;;""
2000;3074;"48";"48173";"Saint-Michel-de-Dèze";"2000-01-31 16:10:00";500;0;500;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
2000;130;"83";"83029";"Callian";"2000-01-31 17:35:00";1000;1000;0;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
2000;817;"83";"83063";"La Garde-Freinet";"2000-02-01 09:41:00";600;600;0;;;;;;;;;"3";"Involontaire (particulier)";;;;;""
2000;815;"83";"83135";"Tavernes";"2000-02-01 13:50:00";500;500;0;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
2000;1401;"06";"06098";"Puget-Rostang";"2000-02-01 13:56:00";1000;0;1000;;;;;;;;;"1";;;;;;""
2000;1402;"06";"06149";"La Trinité";"2000-02-01 14:20:00";500;0;500;;;;;;;;;"1";;;;;;""
2000;2821;"07";"07239";"Saint-Genest-Lachamp";"2000-02-01 15:27:00";20000;0;20000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
2000;2454;"2A";"2A348";"Vico";"2000-02-01 19:04:00";1000;470;480;0;;;;;;50;;"1";"Involontaire (travaux)";;;;;""
2000;1403;"06";"06049";"Courmes";"2000-02-03 14:30:00";162000;162000;0;;;;;;;;;"1";"Malveillance";;;;;""
2000;1429;"04";"04159";"Redortiers";"2000-02-03 16:38:00";5000;0;5000;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
2000;320;"66";"66171";"Saint-Cyprien";"2000-02-03 17:05:00";2000;940;960;0;;;;;;100;;"1";"Malveillance";;;;;""
2000;2822;"07";"07307";"Sanilhac";"2000-02-03 17:08:00";1000;1000;0;;;;;;;;;"4";"Accidentelle";;;;;""
2000;2198;"83";"83086";"Le Muy";"2000-02-03 18:24:00";30000;30000;0;;;;;;;;;"5";;;;;;""
2000;825;"83";"83086";"Le Muy";"2000-02-03 23:40:00";150;150;0;;;;;;;;;"1";;;;;;""
2000;417;"84";"84005";"Aurel";"2000-02-04 11:59:00";5000;0;5000;;;;;;;;;"1";;;;;;""
2000;886;"83";"83121";"Salernes";"2000-02-04 15:50:00";50;50;0;;;;;;;;;"1";;;;;;""
2000;2085;"06";"06108";"La Roquette-sur-Siagne";"2000-02-05 11:36:00";2000;0;2000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
2000;891;"83";"83050";"Draguignan";"2000-02-05 11:44:00";2000;2000;0;;;;;;;;;"5";"Involontaire (particulier)";;;;;""
2000;516;"2B";"2B346";"Vescovato";"2000-02-05 13:10:00";10000;0;10000;;;;;;;;;"1";;;;;;""
2000;517;"2B";"2B050";"Calvi";"2000-02-05 13:10:00";700;0;700;;;;;;;;;"1";;;;;;""
2000;1404;"06";"06118";"Saint-Cézaire-sur-Siagne";"2000-02-05 13:28:00";600;0;600;;;;;;;;;"1";;;;;;""
2000;1125;"83";"83072";"Lorgues";"2000-02-05 16:45:00";5;5;0;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
2000;2982;"48";"48107";"Palhers";"2000-02-05 19:42:00";40000;18800;19200;0;;;;;;2000;;;;;;;;""
2000;8406;"11";"11008";"Alet-les-Bains";"2000-02-06 15:00:00";30000;0;30000;;;;;;;;;"1";;;;;;""
2000;519;"2B";"2B286";"Sorbo-Ocagnano";"2000-02-07 12:26:00";3000;0;3000;;;;;;;;;"1";;;;;;""
2000;518;"2B";"2B029";"Barbaggio";"2000-02-07 13:08:00";1500;0;1500;;;;;;;;;"1";;;;;;""
2000;2823;"07";"07305";"Les Salelles";"2000-02-07 14:01:00";10000;0;10000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
2000;2178;"06";"06157";"Vence";"2000-02-07 18:14:00";32000;32000;0;;;;;;;;;"3";"Malveillance";;;;;""
2000;3130;"13";"13040";"Fuveau";"2000-02-07 21:39:00";1000;470;480;0;;;;;;50;;;"Malveillance";;;;;""
2000;900;"83";"83121";"Salernes";"2000-02-08 14:16:00";1000;1000;0;;;;;;;;;"5";"Involontaire (particulier)";;;;;""
2000;2900;"48";"48156";"Saint-Germain-du-Teil";"2000-02-08 15:30:00";600;0;600;;;;;;;;;;;;;;;""
2000;502;"13";"13082";"Rognes";"2000-02-08 16:12:00";15000;7050;7200;0;;;;;;750;;;"Involontaire (particulier)";;;;;""
2000;899;"83";"83134";"Taradeau";"2000-02-08 16:49:00";20;20;0;;;;;;;;;"5";"Involontaire (particulier)";;;;;""
2000;1430;"04";"04039";"Castellane";"2000-02-09 11:40:00";90000;20000;70000;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
